team_id,philosophy,resource,status
team:seoul_ravens,육성중심,안정,신흥
team:paju_unicorns,육성중심,알뜰,신흥
team:daejeon_blaze,젊은피(세대교체),알뜰,신흥
team:gwangju_rhinos,육성중심,안정,중견
team:sangmu_phoenix,베테랑우대,안정,중견
team:seoul_comets,근성/언더독,알뜰,언더독
team:incheon_griffons,젊은피(세대교체),알뜰,신흥
team:daegu_hawks,베테랑우대,안정,중견
team:busan_sealions,스몰볼,알뜰,언더독
team:wonju_winners,근성/언더독,궁핍,언더독
team:hanseong_hs,전통/정통,부유,슈퍼스타
team:cheongun_hs,공격야구(화력),안정,명문
team:doseong_hs,육성중심,부유,명문
team:yangcheon_hs,공격야구(화력),안정,엘리트
team:cheongram_hs,수비/짜임새,안정,엘리트
team:daeyang_hs,스몰볼,안정,신흥
team:myeongil_hs,근성/언더독,안정,중견
team:namsan_hs,데이터중심,안정,엘리트
team:gangbyeon_hs,투수왕국,안정,신흥
team:gwangun_hs,전통/정통,안정,중견
team:eunpyeong_hs,스파르타(혹독훈련),안정,엘리트
team:samjeon_hs,부상방지/재활특화,안정,신흥
team:hanbit_hs,베테랑우대,안정,중견
team:bugak_hs,젊은피(세대교체),알뜰,언더독
team:sinjeong_hs,육성중심,안정,중견
team:mongnyeon_hs,공격야구(화력),알뜰,언더독
team:baekho_hs,투수왕국,안정,엘리트
team:songrim_hs,수비/짜임새,알뜰,언더독
team:gwanggyo_hs,수비/짜임새,부유,명문
team:giheung_hs,스몰볼,안정,엘리트
team:suseong_hs,근성/언더독,안정,중견
team:manwol_hs,데이터중심,안정,엘리트
team:bundang_hs,투수왕국,안정,신흥
team:pangyo_hs,전통/정통,안정,중견
team:jungwon_hs,스파르타(혹독훈련),안정,엘리트
team:ilsan_hs,부상방지/재활특화,안정,신흥
team:cheongna_hs,베테랑우대,안정,중견
team:gyeyang_hs,젊은피(세대교체),안정,엘리트
team:gimpo_hs,육성중심,안정,신흥
team:pyeongtaek_hs,공격야구(화력),안정,중견
team:yeonsu_hs,수비/짜임새,안정,중견
team:pyeongchon_hs,스몰볼,알뜰,언더독
team:sangnok_hs,근성/언더독,안정,중견
team:sihwa_hs,데이터중심,알뜰,언더독
team:misa_hs,투수왕국,안정,중견
team:osan_hs,전통/정통,알뜰,언더독
team:seorak_hs,근성/언더독,알뜰,신흥
team:chiak_hs,스몰볼,안정,신흥
team:bonguii_hs,근성/언더독,알뜰,언더독
team:gyeongpo_hs,육성중심,안정,중견
team:seolbong_hs,수비/짜임새,알뜰,언더독
team:taebaek_hs,부상방지/재활특화,안정,중견
team:geumgang_hs,전통/정통,안정,명문
team:yuseong_hs,데이터중심,안정,엘리트
team:gyeryong_hs,전통/정통,안정,중견
team:sangdang_hs,투수왕국,안정,신흥
team:baekseok_hs,스파르타(혹독훈련),안정,엘리트
team:hongju_hs,젊은피(세대교체),안정,중견
team:musim_hs,근성/언더독,알뜰,언더독
team:seonggeo_hs,공격야구(화력),안정,중견
team:tangeum_hs,베테랑우대,알뜰,언더독
team:gyebaek_hs,육성중심,안정,중견
team:geumsan_hs,수비/짜임새,알뜰,언더독
team:yesan_hs,스몰볼,안정,중견
team:mudeung_hs,공격야구(화력),부유,슈퍼스타
team:baegyang_hs,육성중심,안정,중견
team:bitgoeul_hs,공격야구(화력),부유,명문
team:mujin_hs,투수왕국,안정,엘리트
team:pungnam_hs,데이터중심,안정,신흥
team:wansan_hs,전통/정통,안정,중견
team:yudal_hs,근성/언더독,안정,엘리트
team:wolmyeong_hs,스몰볼,안정,신흥
team:seungju_hs,육성중심,알뜰,언더독
team:odong_hs,젊은피(세대교체),안정,중견
team:namak_hs,수비/짜임새,알뜰,언더독
team:jungnim_hs,부상방지/재활특화,안정,중견
team:gangjin_hs,베테랑우대,알뜰,언더독
team:hwasun_hs,스파르타(혹독훈련),안정,중견
team:palgong_hs,전통/정통,부유,명문
team:dalseong_hs,데이터중심,부유,엘리트
team:paldal_hs,전통/정통,안정,중견
team:sincheon_hs,스파르타(혹독훈련),안정,엘리트
team:hyeongsan_hs,근성/언더독,안정,신흥
team:gyerim_hs,육성중심,안정,중견
team:geumo_hs,투수왕국,안정,엘리트
team:yeongnam_hs,공격야구(화력),안정,신흥
team:yeongil_hs,수비/짜임새,알뜰,언더독
team:nakdong_hs,젊은피(세대교체),안정,중견
team:hahoe_hs,베테랑우대,알뜰,언더독
team:jungnyeong_hs,스몰볼,안정,중견
team:haeun_hs,공격야구(화력),안정,엘리트
team:gaya_hs,젊은피(세대교체),알뜰,신흥
team:dongnae_hs,육성중심,부유,명문
team:geumjeong_hs,투수왕국,안정,엘리트
team:gwangan_hs,데이터중심,안정,신흥
team:bulmo_hs,전통/정통,안정,중견
team:taehwa_hs,근성/언더독,안정,엘리트
team:namgang_hs,스몰볼,안정,신흥
team:garak_hs,부상방지/재활특화,안정,중견
team:taejong_hs,공격야구(화력),알뜰,언더독
team:masanman_hs,스파르타(혹독훈련),안정,중견
team:munsu_hs,수비/짜임새,알뜰,언더독
team:chokseok_hs,베테랑우대,안정,중견
team:bunseong_hs,젊은피(세대교체),알뜰,언더독
team:geoje_hs,육성중심,안정,중견
team:tongyeong_hs,근성/언더독,알뜰,언더독
team:halla_hs,근성/언더독,궁핍,언더독
team:hannae_hs,근성/언더독,알뜰,언더독
team:oreum_hs,육성중심,안정,중견
team:seogwi_hs,수비/짜임새,알뜰,언더독
team:seongsan_hs,스몰볼,안정,중견
team:aewol_hs,데이터중심,알뜰,언더독
team:hallyu_univ,육성중심,부유,슈퍼스타
team:baeksan_univ,전통/정통,안정,엘리트
team:hangang_univ,데이터중심,안정,엘리트
team:gwanak_univ,전통/정통,안정,신흥
team:namsan_univ,근성/언더독,알뜰,언더독
team:bukhansan_univ,육성중심,안정,중견
